name,website,place_id,city,state
"Epoxy Flooring New York City","https://www.epoxyflooringnewyorkcity.com/","ChIJQSfhvsNFwokRntMUiHU5PiY","New York","NY"
"EPOXYFI NEW YORK HOME IMPROVEMENT LLC","https://www.epoxyfi.com/","ChIJZ3kDUfVxaQoRmJrMBw959PA","New York","NY"
"Manhattan Epoxy Co.","https://manhattanepoxyco.com/","ChIJ52qLCRhawokRWwEdmj_NC6U","New York","NY"
"DUOMIT Flooring Inc","https://duomit.com/","ChIJQ0CcCoqzw4kRLg0JUgr5NG4","New York","NY"
"XPS Xpress - NYC Epoxy Floor Store","https://www.xpsnewyorkcity.com/?utm_campaign=gmb","ChIJS8KoCpv5wokRLnovRWqjQts","New York","NY"
"Upstate Epoxy Floor Coatings","https://www.upstateepoxyfloorcoatings.com/","ChIJq1GhyC8P3okRDGoh4tR8Olg","New York","NY"
"Buffalo Concrete Coatings","http://buffaloconcretecoatingswny.com/","ChIJWWYpTvkL04kRCCo4OoOLq38","New York","NY"
"Apollo Concrete Coatings","https://www.apolloconcretecoatings.com/","ChIJyxwAiOFz3okRkDcnDJn0T9Q","New York","NY"
"Incredible Concrete Coatings, LLC","https://incredibleconcretecoatings.com/","ChIJz66RtlRR3YkR7vHs1UnYEjE","New York","NY"
"Stardust Concrete Coatings Inc.","http://stardustcoating.com/","ChIJQ21S9Cc36IkRXgX807QxdDA","New York","NY"
"Southside Concrete Polishing","https://ssconcretepolishing.com/?utm_source=gmb","ChIJuxAcxhZawokRiSmKOnoFj3o","New York","NY"
"Concrete Makeover","https://www.theconcretemakeover.com/","ChIJpabb7sKzw4kRxHIHfEwtVXc","New York","NY"
"Concrete Polishing New York","http://concretepolishingny.com/","ChIJPWn_f9R6wokRZo8k8lkIb0Y","New York","NY"
"Top Epoxy Flooring","https://topepoxyflooring.com/","ChIJrTFrh2SZwoARxDq4dx3-jh0","Los Angeles","CA"
"Top Epoxy Floors","http://topepoxyfloors.com/","ChIJ2xVrwfDBEI0Rf7MR1nOOWVo","Los Angeles","CA"
"SunPro Epoxy Flooring Concrete & Garage Floors Painting, Coating & Polishing","http://sunproepoxyflooring.com/","ChIJ_yGBYXrbwoARn-mB6480cYk","Los Angeles","CA"
"Epoxy Floor Pros","http://www.epoxyfloorpros.us/","ChIJkfSVF79q1ikRKLgN-Oej_7s","Los Angeles","CA"
"All Star Epoxy And Paint","https://allstarepoxyandpaint.com/","ChIJz5g0vmYTuKMRkc52OZuzoug","Los Angeles","CA"
"Pearl Epoxy Flooring","https://www.pearlepoxyflooring.com/","ChIJ64UFRBHZwoAR3RJg06yUz90","Los Angeles","CA"
"Epoxy Spot - a Chromology Calofornia USA","https://www.epoxyspot.com/","ChIJ0RLuHVPZwoARLovkkQ3Tf_o","Los Angeles","CA"
"Garage Floors 1 Day","http://www.garagefloors1day.com/","ChIJ2Z7m17Lp3IARiTCeNHqz1ew","Los Angeles","CA"
"Aaron's Pro Flooring","https://aaronsproflooring.com/","ChIJJ3GuKkm5woARQlRmruAkF-E","Los Angeles","CA"
