name,website,place_id,city,state,status,phones,emails,services,raw_services,service_areas,trust_signals,socials,has_photo_gallery,has_contact_form,title,meta_description,logo_url
Epoxy Flooring New York City,https://www.epoxyflooringnewyorkcity.com/,ChIJQSfhvsNFwokRntMUiHU5PiY,New York,NY,ok,(917) 597-7859; (516) 563-3371,,epoxy_flake,"COMMERCIALFLOOR COATING; INDUSTRIALFLOOR COATING; RESIDENTIALFLOOR COATING; Unleash Epoxy Magic for Resilient, Beautiful Floors; WHY CHOOSE EPOXY FLOORING NEW YORK CITY?","Bay Pkwy Brooklyn, NY","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 60}","{""facebook"": ""https://www.facebook.com/people/Epoxy-Flooring-New-York-City/61566344973222/""}",False,True,Epoxy Flooring New York City | Suffolk & Nassau County,Revamp your floors with durable epoxy finishes in NYC. Contact our experts for stunning results and exceptional service. Call the best today!,https://epoxyflooringnewyorkcity.com/wp-content/uploads/2021/11/EpoxyFlooringNYClogo.png
EPOXYFI NEW YORK HOME IMPROVEMENT LLC,https://www.epoxyfi.com/,ChIJZ3kDUfVxaQoRmJrMBw959PA,New York,NY,ok,(646) 220-8298,,commercial; concrete_polish; residential,Basement Floor Coating; Commercial Epoxy Flooring; Decorative Concrete Overlays; Epoxyfi; Garage Floor Epoxy Coating; Get In Touch Today for Professional Epoxy Flooring Services; Marble Floor Restoration; Polished Concrete Floors; Terrazzo Floor Restoration,"Brooklyn, NY; Elizabeth, NJ; Jersey City, NJ; Long Island, NY; Newark, NJ; Queens, NY; Service Areas New York City, NY; Staten Island, NY; The Bronx, NY; Us Service Areas New York City, NY; Westchester, NY; Yonkers, NY","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://www.instagram.com/epoxyfi_ny?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==""}",True,False,"Epoxy Flooring NYC & NJ | Garage, Basement & Commercial Floors","Premium epoxy flooring contractor serving NYC and New Jersey. Durable garage, basement, and commercial floor coatings with modern finishes.",
Manhattan Epoxy Co.,https://manhattanepoxyco.com/,ChIJ52qLCRhawokRWwEdmj_NC6U,New York,NY,unreachable,,,,,,{},{},False,False,,,
DUOMIT Flooring Inc,https://duomit.com/,ChIJQ0CcCoqzw4kRLg0JUgr5NG4,New York,NY,ok,(941) 374-2246; (929) 434-6776,,concrete_polish; concrete_repair; concrete_stain; epoxy_flake; metallic_epoxy; polyaspartic; residential,3D Flooring; Brewery Flooring; Cannabis Flooring; Coatings Coverage; Concrete Floor Grind and Seal; Concrete Grinding; Dairy Flooring; Deck Coatings; Decorative Concrete; Decorative ConcreteTextured ConcreteDriveway Resurfacing; Dur-A-Flex Floor; Epoxy Flake Floor for a Stunning Finish; Epoxy Flakes; Epoxy Floor Contractors in NYC You Can Trust; Epoxy Flooring; Epoxy Terrazzo; Floor Solutions; Floor Surveying; Floors; Glitter Epoxy; Glitter Epoxy Floor; Gym Flooring; Hardwood Flooring; Healthcare Flooring; Kennel Flooring; Kitchen Flooring; Kitchen FlooringDur-A-Flex FloorFood Processing; Metallic Epoxy; Polished Concrete; Polyaspartic Coating; Retail Flooring; Sealed Concrete; Self-Leveling Concrete as a Finished Floor?; Self-Leveling Floor; Stained Concrete; Textured Concrete; The Ultimate Flooring Solution for NYC Business Owners; Traffic Coatings; Traffic CoatingsDeck CoatingsTremco Coatings; Tremco Coatings,"Brooklyn, NY","{""licensed"": true, ""insured"": true, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""youtube"": ""https://www.youtube.com/watch?v=yy8-JIhntos""}",True,True,Concrete Polishers: Transforming Retail and Industrial Floors,Looking for durable flooring? Concrete Polishers by DUOMIT provide low-maintenance options for retail and industrial environments.,https://duomit.com/wp-content/uploads/2018/11/cropped-Logo_small-180x180.jpg
XPS Xpress - NYC Epoxy Floor Store,https://www.xpsnewyorkcity.com/?utm_campaign=gmb,ChIJS8KoCpv5wokRLnovRWqjQts,New York,NY,ok,(646) 846-0389,,concrete_polish; concrete_stain; countertops; epoxy_solid; polyurea,Concrete Cutting Blades Bits; Concrete Grinding Cup wheels; Concrete Supplies; Epoxy Aggregate; Epoxy Coatings; Epoxy Pigments; Epoxy Resin Supplies; Floor Demo - Surface Profiling; Protective Coatings; Why is the shipping charge for epoxy resin higher?,"NY, NJ","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 10}",{},False,True,Epoxy Floor Coatings & Supplies | XPS | NJ,Shop epoxy floor coatings & concrete polishing supplies. Get certified training & fast shipping. Contact us for your needs!,https://lirp.cdn-website.com/b9752a7d/dms3rep/multi/opt/newlogo-1920w.png
Upstate Epoxy Floor Coatings,https://www.upstateepoxyfloorcoatings.com/,ChIJq1GhyC8P3okRDGoh4tR8Olg,New York,NY,ok,(518) 470-9865,,concrete_polish; residential,Basement Floor Coatings; Basement Floors; Epoxy Floor Coatings; Garage Floor Coatings; Garage Floors; Our Professional Floor Coating Services; Polished Concrete; PolishedConcrete; Professional Floor Coatings in the Capital Region; Why Choose Upstate Epoxy Floor Coatings,"About Areas We Serve Cohoes, NY; Albany, NY; Capital Region. Albany, NY; Clifton Park, NY; Cohoes, NY; Latham, NY; Saratoga Springs, NY; Schenectady, NY; Troy, NY","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 20}",{},False,True,Upstate Epoxy Floor Coatings,"Explore Upstate Epoxy Floor Coatings for all of your epoxy flooring needs. From basements and garages to commercial spaces, we do it all.",https://i0.wp.com/upstateepoxyfloorcoatings.com/wp-content/uploads/2025/10/upstate-epoxy-floor-coatings-white-logo.png?fit=1024%2C512&ssl=1
Buffalo Concrete Coatings,http://buffaloconcretecoatingswny.com/,ChIJWWYpTvkL04kRCCo4OoOLq38,New York,NY,ok,(716) 986-7325,,polyaspartic; pool_deck; residential,Buffalo Concrete Coatings; Contact Buffalo Concrete Coatings; Garage Floors,"Buffalo, NY; Cadby Industrial Pkwy Lancaster, NY; Lancaster or Buffalo, NY; Lancaster, NY","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 20}","{""facebook"": ""http://www.facebook.com/buffaloconcretecoating""}",True,False,"Epoxy & Polyaspartic Floor Coatings | Lancaster & Buffalo, NY | Buffalo Concrete Coatings","If you're interested in applying epoxy or polyaspartic coating to your garage floor or pool deck, turn to Buffalo Concrete Coatings in Lancaster, NY.",
Apollo Concrete Coatings,https://www.apolloconcretecoatings.com/,ChIJyxwAiOFz3okRkDcnDJn0T9Q,New York,NY,ok,(716) 405-4622; (716) 303-4102; (716) 671-1723; (716) 309-4850,,concrete_repair; polyaspartic; polyurea; pool_deck; residential,Apollo Concrete Coatings Albany Specializations; Epoxy vs Polyurea,"Albany, NY; Buffalo, NY; Colonie, NY; Concrete Coatings Syracuse, NY; Hamburg, NY; McLaughlin Rd Rochester, NY; Old Court Street Syracuse, NY; Orchard Park, NY; PM Serving Buffalo, NY; PM Serving Rochester, NY; PM Serving Syracuse, NY; Penfield, NY; Pool Decks Locations Buffalo, NY; Rochester, NY; Southwestern Blvd Buffalo, NY; Syracuse, NY","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": true, ""years_in_business"": 8}","{""facebook"": ""https://www.facebook.com/apolloconcretecoatings""}",True,True,Apollo Concrete Coatings | One-Day Floors in WNY & CNY,"Apollo Concrete Coatings — one-day epoxy + polyaspartic floors across WNY, CNY & NW Pennsylvania since 1976. Free estimates, lifetime warranty.","https://cdn.revampdev.com/cdn-cgi/image/format=auto,quality=85,metadata=none/brands/apollo/logo.png"
"Incredible Concrete Coatings, LLC",https://incredibleconcretecoatings.com/,ChIJz66RtlRR3YkR7vHs1UnYEjE,New York,NY,ok,(203) 885-5941; (845) 867-3078,,polyaspartic; polyurea; residential,Concrete Coatings; Garage Floor Coatings,"Beyond Ridgefield, CT; Communities Patterson, NY; Concrete Coatings Patterson, NY; Floor Coatings in Patterson, NY; Floor Coatings in Ridgefield, CT; Free Skip to content Patterson, NY; ICC Skip to content Patterson, NY; Our Company Locations Patterson, NY; Patterson, NY; Ridgefield, CT; Skip to content Patterson, NY; South Salem, NY; Westchester County, NY","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 0}","{""facebook"": ""https://www.facebook.com/IncredibleConcreteCoatings/"", ""instagram"": ""https://www.instagram.com/incredibleconcretecoatings/""}",True,True,Garage Floor Coatings-NY & CT-Incredible Concrete Coatings,"Upgrade your garage floor or basement with Incredible Concrete Coatings. Located in Patterson, NY with an additional location in Ridgefield, CT.",https://incredibleconcretecoatings.com/wp-content/uploads/2025/08/logo.png
Stardust Concrete Coatings Inc.,http://stardustcoating.com/,ChIJQ21S9Cc36IkRXgX807QxdDA,New York,NY,ok,(631) 567-4763,,concrete_polish; concrete_repair; countertops; epoxy_flake; epoxy_solid; metallic_epoxy; polyaspartic; pool_deck; residential,Coatings; Garage Floor Epoxy Systems; Leave Us A Concrete Coating Reviews; Metallic Epoxy Coatings; Polished Concrete; Stardust Concrete Coatings Inc Customer Reviews,"Email Us Ronkonkoma, NY; Inc. Skip to content Ronkonkoma, NY; Memorial Highway Ronkonkoma, NY; NY Skip to content Ronkonkoma, NY; Ronkonkoma, NY; Skip to content Ronkonkoma, NY","{""licensed"": true, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 20}","{""facebook"": ""https://www.facebook.com/155435557941838"", ""instagram"": ""https://www.instagram.com/stardustconcretecoatings""}",True,False,Stardust Concrete Coatings Inc. | Contractor | Ronkonkoma NY,"With over 20 years of experience, no industrial or commercial job is too big or too small for Stardust Concrete Coatings. Contact us today.",https://stardustcoating.com/wp-content/uploads/2024/09/head-logo-white.png
